Pages,Language,Price,Price_per_page,Gift
304,German,8.99,0.029572368421052632,No
559,German,8.99,0.016082289803220035,No
384,German,8.99,0.023411458333333333,No
463,German,8.99,0.019416846652267818,No
384,German,8.99,0.023411458333333333,No
382,German,8.99,0.023534031413612565,No
350,German,8.99,0.025685714285714287,No
352,German,8.99,0.025539772727272727,No
302,German,8.99,0.0297682119205298,Yes
288,German,8.99,0.03121527777777778,Yes
319,German,8.99,0.028181818181818183,Yes
464,German,8.99,0.019375,Yes
320,German,8.99,0.02809375,Yes
430,German,8.99,0.020906976744186047,Yes
368,English,5.37,0.014592391304347826,No
366,English,6.99,0.019098360655737705,No
353,English,6.99,0.01980169971671388,No
344,English,6.99,0.020319767441860467,No
319,English,6.99,0.021912225705329153,No
352,English,6.99,0.019857954545454547,No
384,English,6.99,0.018203125,No
380,English,6.99,0.018394736842105262,No
386,English,6.99,0.018108808290155442,No
390,English,6.99,0.017923076923076924,No
367,English,6.99,0.01904632152588556,No
431,English,8.29,0.019234338747099768,Yes
339,English,16.99,0.05011799410029498,Yes
305,English,9.09,0.02980327868852459,Yes
362,English,9.89,0.027320441988950277,Yes
369,German,9.95,0.026964769647696476,Yes
128,English,13.0,0.1015625,Yes
416,German,10.99,0.02641826923076923,Yes
460,German,12.0,0.02608695652173913,Yes
256,German,11.0,0.04296875,Yes
528,German,11.99,0.022708333333333334,Yes
478,German,11.99,0.0250836820083682,Yes
270,German,9.0,0.03333333333333333,Yes
286,German,9.0,0.03146853146853147,Yes
281,German,9.0,0.03202846975088968,Yes
333,German,9.0,0.02702702702702703,No
365,German,9.0,0.024657534246575342,No
352,German,9.0,0.02556818181818182,No
381,German,9.0,0.023622047244094488,No
424,German,9.0,0.02122641509433962,No
154,German,14.95,0.09707792207792207,Yes
627,German,8.0,0.012759170653907496,No
319,German,9.0,0.02821316614420063,No
377,German,9.0,0.023872679045092837,No
378,German,9.0,0.023809523809523808,No
413,German,9.0,0.021791767554479417,No
414,German,9.0,0.021739130434782608,No
384,German,9.0,0.0234375,No
413,German,9.0,0.021791767554479417,No
414,English,7.99,0.01929951690821256,No
384,German,9.0,0.0234375,No
440,English,8.0,0.01818181818181818,No
393,English,8.0,0.020356234096692113,No
529,English,9.99,0.01888468809073724,No
416,German,9.0,0.021634615384615384,No
415,German,9.0,0.021686746987951807,No
379,German,9.0,0.023746701846965697,No
411,German,9.0,0.021897810218978103,No
474,English,8.49,0.01791139240506329,No
455,English,8.49,0.01865934065934066,No
480,English,8.49,0.017687500000000002,No
400,English,18.95,0.047375,Yes
398,English,14.95,0.03756281407035176,Yes
375,English,16.95,0.0452,Yes
424,English,7.5,0.01768867924528302,No
501,English,7.5,0.014970059880239521,No
438,English,7.5,0.017123287671232876,No
431,English,7.5,0.01740139211136891,No
381,English,7.9,0.02073490813648294,No
672,English,9.99,0.014866071428571428,No
555,German,8.95,0.016126126126126124,No
887,German,11.0,0.012401352874859075,No
329,English,8.99,0.027325227963525836,Yes
357,English,8.99,0.025182072829131652,No
358,English,8.99,0.02511173184357542,No
83,German,9.0,0.10843373493975904,Yes
241,English,6.9,0.028630705394190874,Yes
153,English,11.0,0.0718954248366013,Yes
274,English,7.5,0.02737226277372263,No
313,English,6.99,0.02233226837060703,No
499,English,7.55,0.015130260521042084,No
152,English,15.5,0.10197368421052631,Yes
294,English,9.99,0.03397959183673469,No
263,English,12.0,0.045627376425855515,Yes
173,English,16.99,0.09820809248554913,Yes
144,English,16.99,0.1179861111111111,Yes
164,English,16.99,0.10359756097560975,Yes
173,English,11.39,0.06583815028901735,Yes
172,English,11.39,0.06622093023255814,Yes
163,English,11.39,0.06987730061349694,Yes
712,German,14.0,0.019662921348314606,No
523,German,14.0,0.02676864244741874,Yes
522,German,14.0,0.02681992337164751,Yes
494,German,14.0,0.02834008097165992,Yes
556,German,14.0,0.025179856115107913,No
573,German,14.0,0.02443280977312391,No
509,German,14.9,0.029273084479371318,Yes
445,German,14.9,0.03348314606741573,Yes
463,German,14.9,0.032181425485961125,Yes
498,English,9.0,0.018072289156626505,No
563,English,9.0,0.015985790408525755,No
628,English,9.0,0.014331210191082803,No
754,English,9.0,0.011936339522546418,No
483,English,7.0,0.014492753623188406,No
496,English,7.9,0.01592741935483871,No
568,English,8.7,0.015316901408450703,No
485,English,6.99,0.01441237113402062,No
451,English,6.99,0.01549889135254989,No
541,English,6.99,0.012920517560073938,No
424,English,6.99,0.016485849056603774,No
534,English,7.99,0.014962546816479402,No
725,English,7.99,0.011020689655172415,No
507,English,13.0,0.02564102564102564,Yes
264,English,14.5,0.054924242424242424,Yes
647,English,8.5,0.01313755795981453,No
781,English,8.5,0.01088348271446863,No
747,English,8.5,0.011378848728246318,No
960,English,33.99,0.03540625,Yes
480,German,8.95,0.01864583333333333,No
160,German,21.9,0.136875,Yes
352,German,9.95,0.02826704545454545,No
928,German,14.0,0.015086206896551725,No
24,German,9.0,0.375,Yes
288,German,9.95,0.034548611111111106,No
272,German,9.95,0.03658088235294117,No
448,German,12.0,0.026785714285714284,No
176,German,6.5,0.036931818181818184,Yes
176,German,6.5,0.036931818181818184,Yes
176,German,6.5,0.036931818181818184,Yes
416,German,9.95,0.02391826923076923,No
384,German,9.95,0.02591145833333333,No
382,German,9.95,0.026047120418848164,No
304,German,9.95,0.032730263157894735,Yes
320,German,9.95,0.031093749999999996,Yes
313,German,9.95,0.03178913738019169,Yes
336,German,7.95,0.023660714285714285,No
416,German,9.95,0.02391826923076923,No
638,German,8.95,0.0140282131661442,No
832,English,11.45,0.01376201923076923,No
608,English,18.9,0.03108552631578947,No
480,German,17.9,0.03729166666666666,Yes
580,German,18.95,0.03267241379310345,Yes
176,German,24.0,0.13636363636363635,Yes
576,German,12.0,0.020833333333333332,No
512,German,17.9,0.0349609375,Yes
472,German,17.9,0.03792372881355932,Yes
512,German,9.95,0.01943359375,No
730,German,9.95,0.01363013698630137,No
336,English,8.49,0.025267857142857144,No
445,English,8.49,0.019078651685393258,No
514,English,8.49,0.01651750972762646,No
480,English,6.59,0.013729166666666666,No
399,English,7.55,0.018922305764411028,No
429,English,8.49,0.01979020979020979,No
354,English,8.49,0.023983050847457627,No
415,English,8.49,0.020457831325301205,No
157,English,5.49,0.03496815286624204,No
1286,English,9.99,0.007768273716951789,No
251,English,19.99,0.0796414342629482,Yes
103,German,11.99,0.11640776699029126,Yes
468,English,6.99,0.014935897435897436,No
562,English,6.99,0.012437722419928826,No
501,English,6.99,0.013952095808383235,No
452,English,6.99,0.015464601769911504,No
358,German,9.99,0.027905027932960895,Yes
390,German,9.99,0.025615384615384616,No
421,English,6.49,0.015415676959619953,No
292,English,6.49,0.022226027397260276,No
404,English,6.99,0.017301980198019803,No
381,English,7.69,0.020183727034120736,No
293,English,7.29,0.024880546075085323,Yes
293,English,7.29,0.024880546075085323,Yes
277,English,6.99,0.025234657039711193,Yes
269,English,6.49,0.02412639405204461,Yes
289,English,6.99,0.024186851211072665,Yes
305,English,6.99,0.022918032786885246,No
321,English,6.99,0.02177570093457944,No
353,English,6.99,0.01980169971671388,No
160,English,8.99,0.0561875,Yes
421,English,6.99,0.01660332541567696,No
305,English,6.99,0.022918032786885246,No
305,English,8.49,0.027836065573770493,Yes
347,English,8.49,0.02446685878962536,Yes
